,Class,IoU,Acc
0,wall,79.8,89.1
1,building,83.84,92.55
2,sky,94.3,97.22
3,floor,83.53,92.49
4,tree,75.6,88.9
5,ceiling,85.15,93.82
6,road,85.49,91.14
7,bed,90.77,95.8
8,windowpane,64.11,80.09
9,grass,69.95,86.88
10,cabinet,62.88,73.95
11,sidewalk,71.74,84.18
12,person,83.24,93.3
13,earth,40.09,54.44
14,door,54.97,69.92
15,table,66.55,78.43
16,mountain,58.7,70.11
17,plant,50.45,60.91
18,curtain,75.6,87.3
19,chair,61.82,76.79
20,car,86.58,93.43
21,water,57.8,76.24
22,painting,78.07,89.72
23,sofa,73.56,86.55
24,shelf,48.38,66.43
25,house,45.39,60.57
26,sea,58.69,74.44
27,mirror,73.03,82.03
28,rug,62.17,73.26
29,field,31.61,41.69
30,armchair,50.94,68.0
31,seat,63.73,87.21
32,fence,49.58,67.27
33,desk,54.24,73.65
34,rock,54.33,82.49
35,wardrobe,43.74,62.05
36,lamp,71.0,82.25
37,bathtub,83.04,86.08
38,railing,38.81,54.44
39,cushion,65.8,76.9
40,base,45.74,65.14
41,box,30.78,39.6
42,column,50.81,61.51
43,signboard,39.59,54.36
44,chest of drawers,47.69,65.01
45,counter,38.62,46.71
46,sand,55.41,75.96
47,sink,79.42,84.98
48,skyscraper,48.19,61.8
49,fireplace,75.24,90.47
50,refrigerator,79.64,88.35
51,grandstand,48.08,81.88
52,path,25.93,39.15
53,stairs,25.62,32.52
54,runway,65.79,85.06
55,case,56.64,81.52
56,pool table,94.34,97.11
57,pillow,60.01,70.3
58,screen door,69.9,74.18
59,stairway,29.28,40.98
60,river,15.62,25.14
61,bridge,76.45,86.11
62,bookcase,37.41,60.08
63,blind,43.1,48.38
64,coffee table,64.65,85.36
65,toilet,89.04,92.26
66,flower,45.45,66.97
67,book,53.19,70.7
68,hill,4.71,9.16
69,bench,44.25,52.37
70,countertop,62.35,80.44
71,stove,82.5,86.37
72,palm,57.0,80.63
73,kitchen island,48.52,83.04
74,computer,77.58,89.13
75,swivel chair,40.72,55.42
76,boat,72.14,85.49
77,bar,60.48,75.28
78,arcade machine,84.89,87.68
79,hovel,36.56,39.06
80,bus,88.04,95.7
81,towel,73.72,84.13
82,light,53.23,65.44
83,truck,46.37,53.79
84,tower,17.43,29.26
85,chandelier,70.87,82.84
86,awning,34.47,40.77
87,streetlight,32.57,46.21
88,booth,61.49,69.78
89,television receiver,75.08,86.64
90,airplane,59.17,66.31
91,dirt track,9.56,39.41
92,apparel,39.55,45.89
93,pole,31.0,41.24
94,land,0.45,0.63
95,bannister,15.97,19.72
96,escalator,59.92,85.7
97,ottoman,56.08,71.17
98,bottle,35.37,47.24
99,buffet,38.66,46.71
100,poster,29.21,35.64
101,stage,21.7,29.55
102,van,42.46,58.35
103,ship,79.36,84.4
104,fountain,21.55,21.85
105,conveyer belt,83.4,93.2
106,canopy,51.87,59.41
107,washer,64.74,80.99
108,plaything,28.28,42.46
109,swimming pool,47.53,73.32
110,stool,51.94,71.2
111,barrel,72.48,94.31
112,basket,41.01,52.8
113,waterfall,45.41,62.0
114,tent,96.85,98.32
115,bag,15.33,17.29
116,minibike,74.75,88.02
117,cradle,85.4,97.19
118,oven,60.07,72.03
119,ball,58.09,68.27
120,food,53.72,61.78
121,step,5.46,5.9
122,tank,61.99,66.88
123,trade name,24.04,27.97
124,microwave,88.49,94.51
125,pot,50.75,56.89
126,animal,50.64,51.61
127,bicycle,58.35,78.05
128,lake,66.31,67.39
129,dishwasher,64.45,74.82
130,screen,54.55,92.15
131,blanket,24.83,32.31
132,sculpture,64.77,84.76
133,hood,64.44,70.78
134,sconce,55.78,68.29
135,vase,47.53,64.53
136,traffic light,38.39,61.08
137,tray,17.46,21.88
138,ashcan,51.88,60.69
139,fan,67.31,79.73
140,pier,63.1,84.48
141,crt screen,1.68,3.22
142,plate,62.05,74.22
143,monitor,40.23,43.94
144,bulletin board,39.0,47.45
145,shower,4.49,22.24
146,radiator,66.68,70.92
147,glass,21.83,23.45
148,clock,51.58,59.12
149,flag,62.59,71.19
